"","LOCALITA","DATA","TMEDIA..C","TMIN..C","TMAX..C","PUNTORUGIADA..C","UMIDITA..","VISIBILITA.km","VENTOMEDIA.km.h","VENTOMAX.km.h","RAFFICA.km.h","PRESSIONESLM.mb","PRESSIONEMEDIA.mb","PIOGGIA.mm","FENOMENI"
"1","Novara","1/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"2","Novara","2/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"3","Novara","3/2/2025",8,1,13,3,70,18,0,0,0,1022,0,0,"nebbia "
"4","Novara","4/2/2025",6,1,10,3,82,8,0,0,0,1028,0,0,""
"5","Novara","5/2/2025",4,-3,9,4,87,5,0,0,0,1031,0,0,"nebbia "
"6","Novara","6/2/2025",4,-3,11,2,72,14,0,0,0,1031,0,0,"nebbia "
"7","Novara","7/2/2025",4,-1,6,1,72,15,0,0,0,1030,0,0,""
"8","Novara","8/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"9","Novara","9/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"10","Novara","10/2/2025",7,6,10,7,94,6,0,0,0,1025,0,0,"pioggia "
"11","Novara","11/2/2025",7,5,8,6,97,2,0,0,0,1024,0,0,"pioggia nebbia "
"12","Novara","12/2/2025",8,7,9,7,97,3,0,0,0,1021,0,0,"pioggia "
"13","Novara","13/2/2025",7,3,11,6,90,5,0,0,0,1017,0,0,"nebbia "
"14","Novara","14/2/2025",8,2,12,3,53,17,11,44,0,1010,0,0,""
"15","Novara","15/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"16","Novara","16/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"17","Novara","17/2/2025",4,3,5,0,68,9,0,0,0,1019,0,0,""
"18","Novara","18/2/2025",5,3,6,0,67,6,0,0,0,1021,0,0,""
"19","Novara","19/2/2025",4,2,5,0,63,11,0,0,0,1028,0,0,""
"20","Novara","20/2/2025",5,-3,9,0,68,14,0,0,0,1029,0,0,"nebbia "
"21","Novara","21/2/2025",5,-3,11,2,76,4,0,0,0,1029,0,0,"nebbia "
"22","Novara","22/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"23","Novara","23/2/2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"24","Novara","24/2/2025",9,4,12,7,89,2,0,0,0,1027,0,0,"nebbia "
"25","Novara","25/2/2025",9,8,9,9,100,1,0,0,0,1019,0,0,"pioggia nebbia "
"26","Novara","26/2/2025",11,6,15,7,80,12,0,0,0,1013,0,0,"nebbia "
"27","Novara","27/2/2025",9,3,15,4,69,10,0,0,0,1016,0,0,"nebbia "
"28","Novara","28/2/2025",9,0,13,5,74,24,0,0,0,1019,0,0,""
